px,py,pz,r11,r12,r13,r21,r22,r23,r31,r32,r33,vx,vy,vz,wx,wy,wz,pxd,pyd,pzd,t1,t2,t3,t4,t5,t6,a1,a2,a3,a4,a5,a6,time
-4.108213424682617,-75.97232055664062,2.376884698867798,0.9211196899414062,0.3870135247707367,-0.041941504925489426,-0.38904067873954773,0.9189697504043579,-0.0643584132194519,0.01363539882004261,0.07559874653816223,0.99704509973526,0.4761139154434204,0.35275131464004517,-0.9376041889190674,0.2889752984046936,-0.4956996440887451,0.4654983878135681,-4.0,-76.0,2.0999999046325684,1.8031094074249268,4.738570213317871,2.5606632232666016,1.6461281776428223,4.8913187980651855,2.0388355255126953,-0.735751748085022,-0.45243483781814575,-0.606113076210022,-0.8058415651321411,-0.411131352186203,-0.5901380777359009,0.8499993085861206
-4.10516357421875,-75.97132110595703,2.372398614883423,0.921927273273468,0.3847646415233612,-0.044791657477617264,-0.38701966404914856,0.9197990298271179,-0.06469595432281494,0.01630660519003868,0.07698021829128265,0.9968992471694946,0.4696902930736542,0.3474053740501404,-0.9330230951309204,0.2828764319419861,-0.5009939074516296,0.477791965007782,-4.0,-76.0,2.0999999046325684,1.7656093835830688,4.701070308685303,2.6231632232666016,1.7086281776428223,4.853818893432617,2.001335620880127,-0.8664379119873047,-0.42441534996032715,-0.4730272889137268,-0.7248257994651794,-0.44473591446876526,-0.7301828861236572,0.854999303817749
-4.102144718170166,-75.9703369140625,2.3679428100585938,0.9227432012557983,0.3824586868286133,-0.0476481094956398,-0.38494646549224854,0.9206469655036926,-0.06500346213579178,0.019005946815013885,0.07832347601652145,0.996746838092804,0.4629424512386322,0.34226658940315247,-0.9281647205352783,0.27669212222099304,-0.5047644972801208,0.48882022500038147,-4.0,-76.0,2.0999999046325684,1.728109359741211,4.663570404052734,2.6856632232666016,1.7711281776428223,4.816318988800049,2.063835620880127,-0.8529982566833496,-0.3831057548522949,-0.4718814790248871,-0.7330755591392517,-0.422428160905838,-0.685889720916748,0.8599992990493774
-4.099157333374023,-75.9693603515625,2.363518476486206,0.9235643148422241,0.3801017701625824,-0.05051324516534805,-0.38282719254493713,0.9215101003646851,-0.06528786569833755,0.021732429042458534,0.079635389149189,0.9965871572494507,0.4559105634689331,0.3373280465602875,-0.9232685565948486,0.2725223898887634,-0.5090605020523071,0.49856963753700256,-4.0,-76.0,2.0999999046325684,1.690609335899353,4.65318489074707,2.7481632232666016,1.7336281538009644,4.7788190841674805,2.126335620880127,-0.7924361228942871,-0.33674299716949463,-0.4760431945323944,-0.7705847024917603,-0.4733145236968994,-0.6763526797294617,0.8649992942810059
-4.0962018966674805,-75.96837615966797,2.3591248989105225,0.9243882298469543,0.37769976258277893,-0.05337882786989212,-0.38066723942756653,0.9223846197128296,-0.06556680798530579,0.02447124384343624,0.0809287577867508,0.9964194297790527,0.4486439824104309,0.3325733244419098,-0.9182357788085938,0.2711504399776459,-0.509375274181366,0.5069292187690735,-4.0,-76.0,2.0999999046325684,1.6531093120574951,4.672205924987793,2.8106632232666016,1.7961281538009644,4.741319179534912,2.0888357162475586,-0.8160086870193481,-0.32982462644577026,-0.40890777111053467,-0.6975107192993164,-0.48344507813453674,-0.7231543660163879,0.8699992895126343
-4.09328031539917,-75.9674072265625,2.354764223098755,0.9252127408981323,0.3752584755420685,-0.05623549968004227,-0.37847188115119934,0.9232676029205322,-0.06584777683019638,0.027210475876927376,0.08220676332712173,0.9962437748908997,0.4411963224411011,0.3279891908168793,-0.9129192233085632,0.26961803436279297,-0.5077510476112366,0.5137863159179688,-4.0,-76.0,2.0999999046325684,1.6157853603363037,4.634706020355225,2.8731632232666016,1.8586281538009644,4.703819274902344,2.1513357162475586,-0.7745054960250854,-0.4037242531776428,-0.4971323609352112,-0.7026678919792175,-0.3980351984500885,-0.5859459638595581,0.8749992847442627
-4.09039306640625,-75.9664306640625,2.3504369258880615,0.9260344505310059,0.3727843165397644,-0.05909311771392822,-0.3762482702732086,0.9241554737091064,-0.06613542139530182,0.02995697781443596,0.08347736299037933,0.9960592985153198,0.43360665440559387,0.3235597610473633,-0.907393217086792,0.2703350782394409,-0.5088621973991394,0.5192784667015076,-4.0,-76.0,2.0999999046325684,1.6782853603363037,4.597206115722656,2.914663791656494,1.8211281299591064,4.666319370269775,2.2138357162475586,-0.7073802351951599,-0.4628497362136841,-0.5776907801628113,-0.7490199208259583,-0.3828190267086029,-0.48190149664878845,0.8799992799758911
-4.087540149688721,-75.9654541015625,2.346144676208496,0.9268506169319153,0.37028470635414124,-0.0619446262717247,-0.3740030825138092,0.9250455498695374,-0.06642625480890274,0.032704975455999374,0.08473470062017441,0.9958666563034058,0.4259188771247864,0.3192747235298157,-0.9013379216194153,0.2687359154224396,-0.5077419877052307,0.5232550501823425,-4.0,-76.0,2.0999999046325684,1.6407853364944458,4.559706211090088,2.977163791656494,1.8836281299591064,4.7043256759643555,2.2763357162475586,-0.8957232236862183,-0.5763176679611206,-0.5043721795082092,-0.6202389597892761,-0.32252395153045654,-0.531043529510498,0.8849992752075195
-4.084722518920898,-75.9644775390625,2.3418893814086914,0.9276590943336487,0.36776676774024963,-0.06477826833724976,-0.3717423975467682,0.9259351491928101,-0.06672094017267227,0.03544273227453232,0.08597511798143387,0.9956666827201843,0.4181855618953705,0.3151237964630127,-0.8949939608573914,0.26682645082473755,-0.5042577981948853,0.5256089568138123,-4.0,-76.0,2.0999999046325684,1.603285312652588,4.5222063064575195,3.039663791656494,1.9461281299591064,4.666825771331787,2.3388357162475586,-0.9380853176116943,-0.5666744112968445,-0.48097217082977295,-0.6195107102394104,-0.39580392837524414,-0.631268322467804,0.889999270439148
-4.081940174102783,-75.96350860595703,2.3376710414886475,0.928458571434021,0.3652370274066925,-0.06757679581642151,-0.36947163939476013,0.926821231842041,-0.0670301616191864,0.038149718195199966,0.08720242977142334,0.9954598546028137,0.4104646146297455,0.3110872805118561,-0.8886808753013611,0.26590287685394287,-0.4960935711860657,0.5264334678649902,-4.0,-76.0,2.0999999046325684,1.56578528881073,4.484706401824951,3.102163791656494,2.0086281299591064,4.629325866699219,2.3013358116149902,-0.9001480340957642,-0.500493586063385,-0.4668777585029602,-0.6694203019142151,-0.4588521420955658,-0.6826162338256836,0.8949992656707764
